corpus_icon,uses,decision,target,reasoning
tripadvisor,1,skip,,Brand-specific icon (TripAdvisor). Too niche for a general-purpose UI icon set.
bullseye,4,alias,target,Bullseye is semantically identical to target/goal. Canonical 'target' (aliases: goal) covers this.
hospital,4,new,hospital,Genuine gap. Hospital/medical is a common UI concept for healthcare apps. No medical icon exists in canonical set and all major icon libraries include it.
bomb,2,skip,,Niche destructive metaphor with only 2 uses. Not a standard UI primitive.
announcement,1,alias,broadcast,Announcement/loudspeaker maps to broadcast (amplifying a message). Canonical 'broadcast' (aliases: live radio-tower) is the closest match.
bullhorn,1,alias,broadcast,Bullhorn is a synonym for announcement/megaphone. Same concept as announcement - alias to 'broadcast'.
safari,1,skip,,Brand-specific icon (Apple Safari browser). Not appropriate for a general icon set.
privacy,2,alias,security,Privacy as a UI concept maps to the shield/security metaphor. Canonical 'security' (aliases: shield) covers this.
student,1,alias,graduation,Student maps to education/academic. Canonical 'graduation' (aliases: education academic) covers this.
browser,1,alias,globe,Browser represents 'the web' which maps to globe/world. Canonical 'globe' (aliases: world public language) covers this. Only 1 use.
certificate,1,alias,award,Certificate as diploma/credential maps to award/badge/achievement. Canonical 'award' (aliases: badge achievement) covers this.
firefox,1,skip,,Brand-specific icon (Mozilla Firefox). Not appropriate for a general icon set.
pointing right,1,alias,next,Pointing right in SUI Classic was used for directional emphasis (go forward). Canonical 'next' (aliases: forward arrow-right) covers this.
checkmark,47,alias,check,Checkmark is a direct synonym for check. Very high usage (47 across 38 files) makes this a critical alias. Canonical 'check' (aliases: done confirm complete).
sort content descending,1,alias,sort,Directional sort variant. Canonical 'sort' covers all sort operations. Only 1 use.
alarm,15,alias,notifications,Alarm (ringing bell) maps to notifications. Canonical 'notifications' (aliases: bell alerts) represents the same ringing-bell concept. 15 uses makes this a valuable alias.
wait,13,alias,loading,Wait/hourglass expresses a pending state. Canonical 'loading' (aliases: spinner) or 'timer' (aliases: countdown stopwatch) could work but 'loading' better captures the UI intent of 'wait'. 13 uses across 10 files.
write,7,alias,edit,Write is a synonym for edit/compose. Canonical 'edit' (aliases: pencil modify) covers this. 7 uses across 7 files.
blind,2,alias,hide,In SUI Classic 'blind' was the eye-slash icon (hide content from view). Canonical 'hide' (aliases: invisible eye-off) is the correct mapping.
linkify,2,alias,link,Linkify means to create/add a hyperlink. Canonical 'link' (aliases: url) covers this action.
level up,1,alias,up,Level up in navigation means go to parent level. Canonical 'up' (aliases: arrow-up) covers this.
chain,1,alias,link,Chain is a classic visual synonym for hyperlink. Canonical 'link' (aliases: url) covers this.
sort content ascending,1,alias,sort,Directional sort variant. Canonical 'sort' covers all sort operations. Only 1 use.
sort numeric ascending,1,alias,sort,Numeric sort variant. Canonical 'sort' covers all sort operations. Only 1 use.
internet explorer,1,skip,,Brand-specific icon (Microsoft IE). Obsolete browser not appropriate for a general icon set.
attention,19,alias,warning,Attention is a synonym for alert/caution. Canonical 'warning' (aliases: alert caution) covers this. 19 uses across 12 files makes this a high-priority alias.
configure,6,alias,settings,Configure is a synonym for settings/preferences. Canonical 'settings' (aliases: gear cog preferences) covers this. 6 uses across 6 files.
rocket,2,new,rocket,Rocket/launch is a distinct concept (deploy startup launch) not covered by any existing canonical icon. All major icon libraries include rocket. Worth adding despite low corpus count as it is widely used in modern UIs.
usd,1,alias,money,USD is a specific currency symbol. Canonical 'money' (aliases: dollar currency) covers this.
unmute,1,alias,volume,Unmute means sound is on. Canonical 'volume' (aliases: audio speaker) represents the unmuted state.
chrome,1,skip,,Brand-specific icon (Google Chrome). Not appropriate for a general icon set.
empty star,8,alias,star,Empty/unfilled star is a rendering variant of star (outline vs filled). Canonical 'star' covers this - fill state is a CSS/rendering concern not a name concern. 8 uses across 6 files.
angle down,1,alias,chevron-down,Angle down is the SUI Classic name for downward chevron. Canonical 'chevron-down' (aliases: caret-down dropdown expand) covers this.
content,5,alias,document,Content in SUI Classic context referred to text/document content. Canonical 'document' (aliases: file-text) is the best semantic match. 5 uses across 4 files.
dont,70,alias,block,Dont (prohibition circle-slash / no-entry sign) maps to block/ban. Canonical 'block' (aliases: ban restricted). CRITICAL: 70 uses across 48 files - highest usage alias in this batch.
warning circle,44,alias,warning,Warning circle is a circled warning variant. Canonical 'warning' (aliases: alert caution) covers this. The circle is a rendering concern. 44 uses across 24 files - second highest usage alias.
exclamation circle,20,alias,warning,Exclamation in circle was used interchangeably with warning circle in SUI Classic. Canonical 'warning' (aliases: alert caution) covers this. 20 uses across 20 files.
angle right,14,alias,chevron-right,Angle right is the SUI Classic name for rightward chevron. Canonical 'chevron-right' (aliases: caret-right). 14 uses across 6 files.
pause circle,6,alias,pause,Circled pause variant. Canonical 'pause' covers the concept. Circle is a rendering variant. 6 uses across 6 files.
line graph,4,alias,chart-line,Line graph is a direct synonym for chart-line. Canonical 'chart-line' (aliases: line-chart analytics trends). 4 uses across 2 files.
cogs,2,alias,settings,Cogs (multiple gears) is a synonym for settings. Canonical 'settings' (aliases: gear cog preferences). 2 uses across 2 files.
minus circle,1,alias,delete,Minus-circle in SUI Classic was used as a remove/delete indicator. Canonical 'delete' (aliases: trash remove) or 'minus' could work but 'delete' better matches the destructive-action intent of a circled minus.
