corpus_icon,uses,decision,target,reasoning
remove bookmark,1,alias,bookmark,"Toggling a bookmark uses the same icon; bookmark canonical already exists. Add 'remove-bookmark' as alias."
question circle,1,alias,help,"FA's question-in-circle is exactly the help icon. help maps to Lucide circle-help. Add 'question-circle' as alias."
remove circle,7,alias,minus,"FA remove-circle is a minus-in-circle. No dedicated circle-minus canonical exists; closest semantic match is minus. Add 'remove-circle' and 'minus-circle' as aliases."
plus circle,7,alias,add,"FA plus-circle is a plus-in-circle. Conceptually 'add' in circular form. No dedicated add-circle canonical needed. Add 'plus-circle' and 'add-circle' as aliases."
play circle,6,alias,play,"FA play-circle is a play button in a circle. Matches play canonical. Add 'play-circle' as alias."
list layout,2,alias,list,"'List layout' describes a list view. list canonical exists and is the right match. Add 'list-layout' as alias."
zoom,8,alias,zoom-in,"Generic 'zoom' defaults to zoom-in behavior. zoom-in canonical exists. Add 'zoom' as alias."
warning sign,12,alias,warning,"FA warning-sign is the triangle-alert. warning canonical is exact match. Add 'warning-sign' as alias."
options,4,alias,more-options,"In UI context 'options' typically maps to the vertical dots/kebab menu. more-options canonical fits. Add 'options' as alias."
add circle,3,alias,add,"Same as plus-circle analysis. FA add-circle is plus-in-circle. Alias to add. 'add-circle' alias covers both corpus entries."
cubes,2,alias,package,"FA cubes (multiple 3D boxes) maps well to package. Add 'cubes' as alias."
add square,2,alias,add,"FA add-square is plus-in-square. Closest concept is add. Add 'add-square' as alias."
exclamation,11,alias,warning,"FA exclamation (bare !) is used in warning contexts. warning canonical (triangle-alert) is the standard warning icon across all libraries. Add 'exclamation' as alias."
external,22,alias,external-link,"Shorthand for external-link. Add 'external' as alias."
hourglass half,1,alias,timer,"timer canonical maps to Tabler hourglass. FA hourglass-half is same concept. Add 'hourglass-half' and 'hourglass' as aliases."
bars,24,alias,menu,"Heroicons calls the hamburger menu bars-3. FA bars = hamburger. Add 'bars' as alias."
qrcode,6,alias,qr-code,"Spelling variant without hyphen. Add 'qrcode' as alias."
setting,1,alias,settings,"Singular form of settings. Add 'setting' as alias."
info circle,464,alias,info,"FA info-circle maps exactly to info canonical (Lucide info / Tabler info-circle). Add 'info-circle' as alias."
dropdown,285,verify,chevron-down,"Already listed as alias of chevron-down. No action needed."
check,242,verify,check,"Exact canonical match. No action needed."
search,203,verify,search,"Exact canonical match. No action needed."
close,181,verify,close,"Exact canonical match. No action needed."
x,166,verify,close,"Already listed as alias of close. No action needed."
edit,133,verify,edit,"Exact canonical match. No action needed."
delete,126,verify,delete,"Exact canonical match. No action needed."
add,120,verify,add,"Exact canonical match. No action needed."
settings,88,verify,settings,"Exact canonical match. No action needed."
lock,84,verify,lock,"Exact canonical match. No action needed."
plus,84,verify,add,"Already listed as alias of add. No action needed."
minus,74,verify,minus,"Exact canonical match. No action needed."
undo,65,verify,undo,"Exact canonical match. No action needed."
user,60,verify,user,"Exact canonical match. No action needed."
print,56,verify,print,"Exact canonical match. No action needed."
help circle,51,alias,help,"FA help-circle is question-in-circle. help maps to Lucide circle-help. Add 'help-circle' as alias."
upload,50,verify,upload,"Exact canonical match. No action needed."
mail,47,verify,email,"Already listed as alias of email. No action needed."
remove,46,verify,minus,"Already listed as alias of both delete and minus. Minus is correct for FA remove (minus/subtract semantics)."
file,46,verify,file,"Exact canonical match. No action needed."
trash,41,verify,delete,"Already listed as alias of delete. No action needed."
cancel,37,verify,close,"Already listed as alias of close. No action needed."
download,35,verify,download,"Exact canonical match. No action needed."
