corpus_icon,uses,decision,target,reasoning
target,2,verify,target,Exact match to canonical name 'target'
chevron up,2,verify,chevron-up,Space-to-hyphen normalization; matches canonical 'chevron-up'
chevron down,2,verify,chevron-down,Space-to-hyphen normalization; matches canonical 'chevron-down'
caret right,2,verify,chevron-right,'caret-right' is already an alias of 'chevron-right'
ordered list,2,verify,numbered-list,'ordered-list' is already an alias of 'numbered-list'
database,2,verify,database,Exact match to canonical name 'database'
newspaper,2,verify,news,'newspaper' is already an alias of 'news'
pie chart,2,verify,chart-pie,'pie-chart' is already an alias of 'chart-pie'
key,2,verify,key,Exact match to canonical name 'key'
bar chart,2,verify,chart-bar,'bar-chart' is already an alias of 'chart-bar'
radio,2,verify,filled-circle,'radio' is already an alias of 'filled-circle'
mute,2,verify,mute,Exact match to canonical name 'mute'
video camera,2,verify,video,Reasonable semantic match; 'video camera' maps to 'video' which uses Lucide 'video' / Phosphor 'video-camera'
expand,2,verify,fullscreen,'expand' is already an alias of 'fullscreen'
power,2,verify,power,Exact match to canonical name 'power'
sort,1,verify,sort,Exact match to canonical name 'sort'
calculator,1,verify,calculator,Exact match to canonical name 'calculator'
map pin,1,verify,location,'map-pin' is already an alias of 'location'
tag,1,verify,tag,Exact match to canonical name 'tag'
truck,1,verify,shipping,'truck' is already an alias of 'shipping'
reply,1,verify,reply,Exact match to canonical name 'reply'
eraser,1,verify,eraser,Exact match to canonical name 'eraser'
chevron left,1,verify,chevron-left,Space-to-hyphen normalization; matches canonical 'chevron-left'
keyboard,1,verify,keyboard,Exact match to canonical name 'keyboard'
spinner,1,verify,loading,'spinner' is already an alias of 'loading'
percent,1,verify,discount,'percent' is already an alias of 'discount'
move,1,verify,move,Exact match to canonical name 'move'
map,1,verify,map,Exact match to canonical name 'map'
crosshairs,1,verify,current-location,'crosshairs' is already an alias of 'current-location'
smile,1,verify,smile,Exact match to canonical name 'smile'
cloud,1,verify,cloud,Exact match to canonical name 'cloud'
check square,1,verify,checkbox,'square-check' is already an alias of 'checkbox'; 'check square' is the SUI Classic equivalent
shopping cart,1,verify,cart,'shopping-cart' is already an alias of 'cart'
clipboard,1,verify,clipboard,Exact match to canonical name 'clipboard'
zoom out,1,verify,zoom-out,Space-to-hyphen normalization; matches canonical 'zoom-out'
zoom in,1,verify,zoom-in,Space-to-hyphen normalization; matches canonical 'zoom-in'
trophy,1,verify,trophy,Exact match to canonical name 'trophy'
arrow left,1,verify,back,'arrow-left' is already an alias of 'back'
ticket,1,verify,coupon,'ticket' is already an alias of 'coupon'
square,1,verify,checkbox-empty,'square' is already an alias of 'checkbox-empty'
