corpus_icon,uses,decision,target,reasoning
circle,6,verify,empty-circle,"empty-circle has 'circle' in its aliases already"
caret up,6,verify,chevron-up,"chevron-up has 'caret-up' alias; 'caret up' (space variant) maps correctly"
indent,6,verify,indent,"Exact canonical name match"
magic,6,verify,sparkles,"sparkles has 'magic' in its aliases already"
table,6,verify,table,"Exact canonical name match"
save,5,verify,bookmark,"bookmark has 'save' in its aliases already"
share,5,verify,share,"Exact canonical name match"
exclamation triangle,5,verify,warning,"warning maps to lucide triangle-alert; 'exclamation triangle' is the SUI Classic name for the same concept"
video,5,verify,video,"Exact canonical name match"
chevron right,5,verify,chevron-right,"Space variant of canonical name; exact concept match"
cube,5,verify,package,"package has aliases 'box' and 'order'; cube is the lucide/heroicons glyph name for this concept"
camera,5,verify,camera,"Exact canonical name match"
sign in,4,verify,login,"login has 'sign-in' alias; 'sign in' (space variant) maps correctly"
file text,4,verify,document,"document has 'file-text' alias; 'file text' (space variant) maps correctly"
repeat,4,verify,repeat,"Exact canonical name match"
at,4,verify,at,"Exact canonical name match"
ban,4,verify,block,"block has 'ban' in its aliases already"
world,4,verify,globe,"globe has 'world' in its aliases already"
outdent,4,verify,outdent,"Exact canonical name match"
mobile,4,verify,mobile,"Exact canonical name match"
cart,4,verify,cart,"Exact canonical name match"
cloud download,4,verify,cloud-download,"Space variant of canonical name; exact concept match"
comment,4,verify,comment,"Exact canonical name match"
maximize,3,verify,fullscreen,"fullscreen has 'maximize' in its aliases already"
unlock,3,verify,unlock,"Exact canonical name match"
cloud upload,3,verify,cloud-upload,"Space variant of canonical name; exact concept match"
question,3,verify,help,"help has 'question' in its aliases already"
flag,3,verify,flag,"Exact canonical name match"
photo,3,verify,image,"image has 'photo' in its aliases already"
minimize,3,verify,exit-fullscreen,"exit-fullscreen has 'minimize' in its aliases already"
folder open,3,verify,open-folder,"open-folder has 'folder-open' alias; 'folder open' (space variant) maps correctly"
microphone,3,verify,microphone,"Exact canonical name match"
sun,3,verify,light-mode,"light-mode has 'sun' in its aliases already"
font,2,verify,type,"type has 'font' in its aliases already"
clone,2,verify,copy,"copy has 'clone' in its aliases already"
remove user,2,verify,remove-user,"Space variant of canonical name; exact concept match"
arrow up,2,verify,up,"up has 'arrow-up' alias; 'arrow up' (space variant) maps correctly"
arrow down,2,verify,down,"down has 'arrow-down' alias; 'arrow down' (space variant) maps correctly"
time,2,verify,time,"Exact canonical name match"
heart,2,verify,like,"like has 'heart' in its aliases already"
log out,2,verify,logout,"logout has 'sign-out' alias; 'log out' space variant of log-out which is the lucide name for this icon"
group,2,verify,users,"users has 'group' in its aliases already"
