corpus_icon,uses,decision,target,reasoning
tripadvisor,1,skip,,Brand-specific (TripAdvisor). No place in a general-purpose icon vocabulary.
bullseye,4,alias,target,"Bullseye is a visual synonym for target/goal. Canonical 'target' is correct — Lucide/Phosphor/Tabler/Material all use 'target'. Add 'bullseye' to target's aliases."
hospital,4,new,hospital,"Genuine gap — healthcare/medical is a common domain. Lucide has 'hospital', Phosphor has 'hospital', Tabler has 'building-hospital', Material has 'local_hospital'. All major libs carry this concept. Suggested category: 'places'. Aliases: medical, clinic."
bomb,2,skip,,"Niche destructive metaphor. Only 2 corpus uses. Not a standard UI primitive worth canonicalizing."
announcement,1,alias,broadcast,"Announcement/megaphone maps to broadcast (amplifying a message). Canonical 'broadcast' (aliases: live, radio-tower). Note: broadcast's glyph is a radio tower, not a megaphone — these are arguably different shapes. At only 1 use, alias is sufficient, but if megaphone demand grows, a separate 'megaphone' canonical may be warranted."
bullhorn,1,alias,broadcast,"Same as 'announcement' — bullhorn/megaphone concept. Alias to 'broadcast' for now."
safari,1,skip,,Brand-specific (Apple Safari). Not appropriate for a general icon set.
privacy,2,alias,lock,"Privacy in UI most commonly maps to a padlock (privacy settings, private browsing). 'lock' (aliases: locked, secure) is a better fit than 'security' (which is a shield). Users seeing 'privacy' expect a padlock."
student,1,alias,graduation,"Student maps to education/academic. Canonical 'graduation' (aliases: education, academic) covers this."
browser,1,alias,globe,"Browser represents web/internet — maps to globe. Canonical 'globe' (aliases: world, public, language). Only 1 use."
certificate,1,alias,verified,"A certificate/credential represents verified status. 'verified' (aliases: badge-check) is a better fit than 'award' — certificates verify authenticity, awards celebrate achievement."
firefox,1,skip,,Brand-specific (Mozilla Firefox). Not appropriate for a general icon set.
pointing right,1,alias,chevron-right,"Pointing right was used for directional indication. 'chevron-right' (aliases: caret-right) is the standard directional indicator. Better fit than 'next' since it's purely directional, not navigational."
checkmark,47,alias,check,"Direct synonym. 47 uses across 38 files — critical alias. Canonical 'check' (aliases: done, confirm, complete). Must add 'checkmark' as alias."
sort content descending,1,alias,sort,"Directional sort variant. Canonical 'sort' covers general sorting. 1 use."
alarm,15,alias,notifications,"Alarm (ringing bell) maps to notifications. Canonical 'notifications' (aliases: bell, alerts). Considered renaming to 'bell' since 4/5 libs use that name, but 'notifications' describes the UI purpose better than the glyph name. 15 uses across 15 files — high-value alias. Add 'alarm' to alias list."
wait,13,alias,loading,"Wait/hourglass expresses a pending state. 'loading' (aliases: spinner) captures the UI intent. 'timer' is a different concept (measuring elapsed time). 13 uses across 10 files. Add 'wait' and 'hourglass' as loading aliases."
write,7,alias,edit,"Write is a synonym for edit/compose. Canonical 'edit' (aliases: pencil, modify). 7 uses across 7 files. Add 'write' and 'compose' as aliases."
blind,2,alias,hide,"SUI Classic 'blind' was the eye-slash (hide content). Canonical 'hide' (aliases: invisible, eye-off). 2 uses."
linkify,2,alias,link,"Linkify means to create a hyperlink. Canonical 'link' (aliases: url). Add 'linkify' as alias."
level up,1,alias,up,"Level up = navigate to parent. Canonical 'up' (aliases: arrow-up). 1 use."
chain,1,alias,link,"Chain is a visual metaphor for hyperlink. Canonical 'link' (aliases: url). Add 'chain' as alias."
sort content ascending,1,alias,sort,"Sort variant. Canonical 'sort'. 1 use."
sort numeric ascending,1,alias,sort,"Sort variant. Canonical 'sort'. 1 use."
internet explorer,1,skip,,Brand-specific (Microsoft IE). Obsolete browser. Skip.
attention,19,alias,warning,"Attention = alert/caution. Canonical 'warning' (aliases: alert, caution). 19 uses across 12 files — must add 'attention' as alias."
configure,6,alias,settings,"Configure = settings/preferences. Canonical 'settings' (aliases: gear, cog, preferences). 6 uses. Add 'configure' as alias."
rocket,2,new,rocket,"Genuine gap. Rocket/launch is a distinct concept (deploy, startup, boost) not covered by any existing canonical. Lucide: 'rocket', Phosphor: 'rocket', Tabler: 'rocket', Material: 'rocket_launch'. Universal across libs. Suggested category: 'action'. Aliases: launch, deploy, boost."
usd,1,alias,money,"USD is a currency abbreviation. Canonical 'money' (aliases: dollar, currency). 1 use."
unmute,1,alias,volume,"Unmute = sound is on. Canonical 'volume' (aliases: audio, speaker). Add 'unmute' as alias."
chrome,1,skip,,Brand-specific (Google Chrome). Skip.
empty star,8,alias,star,"Outline/empty star is a rendering variant. Canonical 'star'. Fill state is a CSS concern not a name concern. 8 uses across 6 files. Add 'empty-star' and 'star-outline' as aliases."
angle down,1,alias,chevron-down,"SUI Classic name for downward chevron. Canonical 'chevron-down' (aliases: caret-down, dropdown, expand). Add 'angle-down' as alias."
content,5,alias,document,"In SUI Classic 'content' icon referred to text/document content. Canonical 'document' (aliases: file-text). 5 uses across 4 files. Add 'content' as alias."
dont,70,rename,block -> ban,"CRITICAL: 70 uses across 48 files — highest usage in batch. The prohibition/circle-slash icon. Current canonical 'block' is suboptimal. Lucide='ban', Tabler='ban', Phosphor='prohibit', Material='block', Heroicons='no-symbol'. 'ban' is more specific and unambiguous than 'block' which has many meanings (text block, city block, UI block). Rename canonical to 'ban', move 'block' to aliases, add 'dont', 'prohibited', 'no' as aliases."
warning circle,44,alias,warning,"Circled warning variant. Canonical 'warning' (aliases: alert, caution). Circle is a rendering concern. 44 uses across 24 files. Add 'warning-circle' as alias."
exclamation circle,20,alias,warning,"SUI Classic used interchangeably with warning-circle. Canonical 'warning'. 20 uses across 20 files. Add 'exclamation-circle' and 'exclamation' as aliases."
angle right,14,alias,chevron-right,"SUI Classic name for rightward chevron. Canonical 'chevron-right' (aliases: caret-right). 14 uses across 6 files. Add 'angle-right' as alias."
