corpus_icon,uses,decision,target,reasoning
remove bookmark,1,skip,,Only 1 use. Niche action; users can compose bookmark icon with remove semantics in their UI layer.
question circle,1,alias,help,"'help' has aliases 'question' and 'faq'; 'question circle' is the old SUI Classic circled-question icon. Needs alias added."
remove circle,7,alias,error,"Fuzzy match to file-remove was wrong. SUI Classic 'remove circle' was a circled X icon — maps to 'error' which has aliases ['x-circle', 'failed']."
plus circle,7,alias,add,"Circled plus = add. Match to 'empty-circle' was wrong. 'add' already has alias 'plus'; the circle is a shape variant."
play circle,6,alias,play,"Circled play button. Match to 'empty-circle' was wrong. 'play' is the correct canonical for media playback."
list layout,2,alias,list,"'list layout' describes a list-view mode. 'list' canonical (aliases: 'list-view') is the correct semantic match. 'columns' is a different layout concept."
zoom,8,alias,zoom-in,"Bare 'zoom' without direction defaults to zoom-in in practice. 8 uses across 8 files."
warning sign,12,alias,warning,"Direct synonym. 'warning' has aliases ['alert', 'caution']. 'warning sign' is the old SUI Classic wordy variant."
options,4,alias,settings,"In SUI Classic 'options' was a gear/settings icon for configuration. 'settings' has aliases ['gear', 'cog', 'preferences']."
add circle,3,alias,add,"Same as 'plus circle' — circled add button. Match to 'empty-circle' was wrong."
cubes,2,alias,package,"Multiple 3D boxes. 'package' has aliases ['box', 'order']; 'cubes' is a reasonable plural variant to add."
add square,2,alias,add,"Square with plus sign = add action in a square container. Match to 'checkbox-empty' was wrong."
exclamation,11,alias,warning,"Bare exclamation mark used as alert in SUI Classic. Match to 'security' was wrong. 'warning' has aliases ['alert', 'caution']."
external,22,alias,external-link,"Shorthand for 'external-link'. High usage (22 uses, 21 files). 'external-link' has alias 'open-in-new'."
hourglass half,1,alias,timer,"Half-filled hourglass = in-progress timing. 'timer' has aliases ['countdown', 'stopwatch'] and tabler uses 'hourglass'."
bars,24,alias,menu,"Three horizontal bars = hamburger menu. High usage (24 uses, 23 files). 'menu' has alias 'hamburger'."
qrcode,6,alias,qr-code,"Unhyphenated spelling variant. 'qr-code' already has alias 'qr'."
setting,1,alias,settings,"Singular form of 'settings'. 'settings' has aliases ['gear', 'cog', 'preferences']."
info circle,464,alias,info,"SUI Classic circled info icon. Extremely high usage (464 uses). 'info' only has alias 'information' — needs 'info circle' or 'info-circle' added."
dropdown,285,verify,chevron-down,"'dropdown' is already a defined alias of 'chevron-down'. Match confirmed."
check,242,verify,check,Exact match to canonical name.
search,203,verify,search,Exact match to canonical name.
close,181,verify,close,Exact match to canonical name.
x,166,verify,close,"'x' is already a defined alias of 'close'. Match confirmed."
edit,133,verify,edit,Exact match to canonical name.
delete,126,verify,delete,Exact match to canonical name.
add,120,verify,add,Exact match to canonical name.
settings,88,verify,settings,Exact match to canonical name.
lock,84,verify,lock,Exact match to canonical name.
plus,84,verify,add,"'plus' is already a defined alias of 'add'. Match confirmed."
minus,74,verify,minus,Exact match to canonical name.
undo,65,verify,undo,Exact match to canonical name.
user,60,verify,user,Exact match to canonical name.
print,56,verify,print,Exact match to canonical name.
help circle,51,alias,help,"SUI Classic circled question mark. 'help' has aliases ['question', 'faq'] but not 'help circle' — needs adding."
upload,50,verify,upload,Exact match to canonical name.
mail,47,verify,email,"'mail' is already a defined alias of 'email'. Match confirmed."
remove,46,verify,minus,"'remove' is already a defined alias of 'minus'. Match confirmed."
file,46,verify,file,Exact match to canonical name.
trash,41,verify,delete,"'trash' is already a defined alias of 'delete'. Match confirmed."
cancel,37,verify,close,"'cancel' is already a defined alias of 'close'. Match confirmed."
download,35,verify,download,Exact match to canonical name.
