corpus_icon,uses,decision,target,reasoning
marker,32,verify,location,"Correct match. 'marker' is already an alias of canonical 'location'. Canonical name is good -- 'location' captures the semantic intent even though 4/5 libraries use 'map-pin' (the visual). Semantic naming is preferred for a UI framework."
refresh,31,verify,refresh,"Exact match to canonical name. Universal agreement across all libraries."
bug,27,verify,bug,"Exact match to canonical name. All 5 libraries use 'bug' variants."
add user,26,verify,add-user,"Correct match via space-to-hyphen normalization. 4/5 libraries call this 'user-plus' but 'add-user' is the semantic action and reads more naturally. 'user-plus' is already an alias."
chat,24,verify,chat,"Exact match to canonical name. Phosphor and Material both use 'chat'."
tasks,23,verify,tasks,"Exact match to canonical name. Good semantic name for a todo/task-list concept."
send,22,verify,send,"Exact match to canonical name. 3/5 libraries use 'send'."
calendar,22,verify,calendar,"Exact match to canonical name. Universal across all libraries."
copy,21,verify,copy,"Exact match to canonical name. Universal across all libraries."
home,20,verify,home,"Exact match to canonical name. 3/5 libraries use 'home' (Lucide/Phosphor use 'house')."
folder,17,verify,folder,"Exact match to canonical name. Universal across all libraries."
warning,16,verify,warning,"Exact match to canonical name. Pairs well with success/error/info in status category."
clock,15,rename,time -> clock,"Auto-match is correct (clock is an alias of time) but canonical name should change. 4/5 libraries use 'clock' (Lucide phosphor tabler heroicons). Only Material uses 'schedule'. 'clock' is the word developers instinctively reach for and what the icon literally depicts. 'time' should become an alias of 'clock' not the other way around."
shop,15,verify,store,"Correct match. 'shop' is already an alias of canonical 'store'. Lucide uses 'store'; 'store' is slightly more universal (app stores online stores etc)."
attach,14,verify,attachment,"Correct match. 'attach' is already an alias of canonical 'attachment'. Semantic action name preferred over visual 'paperclip'."
feed,14,verify,rss,"Correct match. 'feed' is already an alias of canonical 'rss'. All 5 libraries use 'rss'. The icon IS the RSS symbol so 'rss' is the right canonical for this specific glyph."
pencil,13,verify,edit,"Correct match. 'pencil' is already an alias of canonical 'edit'. 'edit' is the semantic action developers reach for; pencil is the visual metaphor."
sign out,12,verify,logout,"Correct match. 'sign-out' is already an alias of canonical 'logout'. 2/5 libraries use 'logout' and it is the modern standard term."
check circle,12,verify,success,"Correct match. 'check-circle' is already an alias of canonical 'success'. All 5 libraries use check-circle variants but 'success' maintains the status-category pattern (success/error/warning/info) which is a strong UI convention."
wizard,11,verify,wand,"Correct match. 'wizard' is already an alias of canonical 'wand'. Limited library support (2/5) but 'wand' is the standard icon name for magic-wand."
phone,11,verify,phone,"AUTO-MATCH IS WRONG. CSV shows best_match='mobile' but corpus 'phone' (telephone handset icon for calls) should map to canonical 'phone' (communication category) not 'mobile' (device category). These are different icons -- phone is a handset mobile is a rectangle device. Additionally 'phone' should be removed from mobile's aliases to resolve the naming conflict."
credit card,11,verify,payment,"Correct match. 'credit-card' is already an alias of canonical 'payment'. All 5 libraries use 'credit-card' but 'payment' is the semantic concept and groups well with other commerce icons (wallet money cart)."
star,11,verify,star,"Exact match to canonical name. Universal across all libraries."
archive,11,verify,archive,"Exact match to canonical name. Universal across all libraries."
code,10,verify,code,"Exact match to canonical name. Universal across all libraries."
info,10,verify,info,"Exact match to canonical name. Universal across all libraries."
money,10,verify,money,"Exact match to canonical name. Good semantic name for the currency concept."
envelope,9,verify,email,"Correct match. 'envelope' is already an alias of canonical 'email'. 'email' is the modern universally understood term for this concept."
users,9,verify,users,"Exact match to canonical name. Universal across all libraries."
hide,8,verify,hide,"Exact match to canonical name. Pairs well with 'view' as show/hide."
eye,8,verify,view,"Correct match. 'eye' is already an alias of canonical 'view'. 4/5 libraries use 'eye' but 'view' is the semantic action and pairs with 'hide'. Semantic naming wins."
filter,8,verify,filter,"Exact match to canonical name. Universal across all libraries."
building,8,verify,company,"Correct match. 'building' is already an alias of canonical 'company'. 'company' is the semantic meaning; building is the visual."
list,8,verify,list,"Exact match to canonical name. Universal across all libraries."
help,8,verify,help,"Exact match to canonical name. Part of the status category with success/error/warning/info."
payment,8,verify,payment,"Exact match to canonical name."
dollar,7,verify,money,"Correct match. 'dollar' is already an alias of canonical 'money'."
line chart,7,verify,chart-line,"Correct match. 'line-chart' is already an alias of canonical 'chart-line'. Matches library naming convention (chart-bar chart-line chart-pie)."
exchange,7,verify,swap,"Correct match. 'exchange' is already an alias of canonical 'swap'. 'swap' is concise and clear."
caret down,7,verify,chevron-down,"Correct match. 'caret-down' is already an alias of canonical 'chevron-down'. 4/5 libraries use chevron terminology."
sidebar,7,verify,sidebar,"Exact match to canonical name."
history,6,verify,history,"Exact match to canonical name. 3/5 libraries use 'history'."
